Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10011	30/06/2008		I	CI/1	2991	Cambridge Property Guide - Job 7312 - Delivery 04 Jun 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10011	30/06/2008		I	CI/2	2991	Cambridge Property Guide - Job 7313 - Delivery 11 Jun 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10011	30/06/2008		I	CI/3	2991	Cambridge Property Guide - Job 7314 - Delivery 18 Jun 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10011	30/06/2008		I	CI/4	2991	Cambridge Property Guide - Job 7315 - Delivery 25 Jun 2008 - 80 grams	0.08	0.09	239.28	269.19	Cambridge Property Guide	S	29.91	I	106
C10011	30/06/2008		I	FS	957.12	Fuel Surcharge	0	0	0	0	Cambridge Property Guide	S	0	I	106

C10012	30/06/2008	Gay Hubbard	I	CI/1	6000	Hamilton This Week - Job 7320 - Delivery 05 Jun 2008 - 45 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10012	30/06/2008	Gay Hubbard	I	CI/2	6000	Hamilton This Week - Job 7321 - Delivery 12 Jun 2008 - 45 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10012	30/06/2008	Gay Hubbard	I	CI/3	6000	Hamilton This Week - Job 7322 - Delivery 19 Jun 2008 - 45 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10012	30/06/2008	Gay Hubbard	I	CI/4	6000	Hamilton This Week - Job 7323 - Delivery 26 Jun 2008 - 45 grams	0.0713	0.0802	427.8	481.275	Hamilton This Week	S	53.47	I	106
C10012	30/06/2008	Gay Hubbard	I	FS	1711.2	Fuel Surcharge	0	0	0	0	Hamilton This Week	S	0	I	106

C10013	30/06/2008		I	CI/1	2595	Lawrences FLyer - Job 7384 - Delivery 12 Jun 2008 - 25 grams	0.0713	0.0802	185.024	208.152	Lawrences FLyer	S	23.13	I	106
C10013	30/06/2008		I	FS	185.024	Fuel Surcharge	0	0	0	0	Lawrences FLyer	S	0	I	106

C10014	30/06/2008	10258	I	CI/1	8000	Northern Advocate - Job 7390 - Delivery 23 Jun 2008 - 205 grams	0.115	0.1294	920	1035	Northern Advocate	S	115	I	106
C10014	30/06/2008	10258	I	FS	920	Fuel Surcharge	0	0	0	0	Northern Advocate	S	0	I	106

C10015	30/06/2008		I	CI/1	3505	Te Puke Times - Job 7316 - Delivery 04 Jun 2008 - 150 grams	0.095	0.1069	332.975	374.597	Te Puke Times	S	41.62	I	106
C10015	30/06/2008		I	CI/2	3505	Te Puke Times - Job 7317 - Delivery 11 Jun 2008 - 60 grams	0.08	0.09	280.4	315.45	Te Puke Times	S	35.05	I	106
C10015	30/06/2008		I	CI/3	3505	Te Puke Times - Job 7318 - Delivery 18 Jun 2008 - 100 grams	0.09	0.1012	315.45	354.881	Te Puke Times	S	39.43	I	106
C10015	30/06/2008		I	CI/4	3505	Te Puke Times - Job 7319 - Delivery 25 Jun 2008 - 65 grams	0.08	0.09	280.4	315.45	Te Puke Times	S	35.05	I	106
C10015	30/06/2008		I	FS	1209.225	Fuel Surcharge	0	0	0	0	Te Puke Times	S	0	I	106

C10016	30/06/2008		I	CI/1	2708	South Canterbury Post Cards - Job 7411 - Delivery 21 Jun 2008 - 5 grams	0.07	0.0788	189.56	213.255	South Canterbury Post Cards	S	23.69	I	107
C10016	30/06/2008		I	CI/2	3260	Tauranga District Post Cards - Job 7410 - Delivery 21 Jun 2008 - 5 grams	0.07	0.0788	228.2	256.725	Tauranga District Post Cards	S	28.53	I	107
C10016	30/06/2008		I	FS	417.76	Fuel Surcharge	0	0	0	0	Tauranga District Post Cards	S	0	I	107

C10017	30/06/2008		I	CI/1	2589	Best-fed Nutrition Course - Job 7373 - Delivery 05 Jun 2008 - 5 grams	0.085	0.0956	220.065	247.573	Best-fed Nutrition Course	S	27.51	I	113
C10017	30/06/2008		I	FS	220.065	Fuel Surcharge	0	0	0	0	Best-fed Nutrition Course	S	0	I	113

