Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C80803	31/08/2011		I	CI/1	985.000	AC Petfoods Mailout - Job 69717 - Delivery IOA - 10 grams.   	0.1523	0.1751	150.016	AC Petfoods Mailout	S	22.50	I	100

C80804	31/08/2011		I	CI/1	1760.000	Agribuild Welcome Flyer - Job 69558 - Delivery 09 Sep 2011 - 10 grams.   Includes Linehaul.	0.0852	0.0980	149.952	Agribuild Welcome Flyer	S	22.49	I	388

C80805	31/08/2011		I	CI/1	8940.000	Allied Farmers Flyer - Job 69474 - Delivery 12 Sep 2011 - 10 grams.   Includes Linehaul.	0.0971	0.1117	868.074	Allied Farmers Flyer	S	130.21	I	433

C80806	31/08/2011		I	CI/1	504.000	Almac Flyer - Job 69488 - Delivery IOA - 20 grams.   Includes Linehaul.	0.0971	0.1117	48.938	Almac Flyer	S	7.34	I	447
C80806	31/08/2011		I	CI/2	2582.000	Almac Flyer - Job 69489 - Delivery IOA - 20 grams.   Includes Linehaul.	0.0971	0.1117	250.712	Almac Flyer	S	37.61	I	447

C80807	31/08/2011	10455	I	CI/1	8092.000	Rural Advocate - Job 69560 - Delivery 16 Sep 2011 - 154 grams. Includes folding fee 0.0100 cents.  	0.1010	0.1162	817.292	Rural Advocate	S	122.59	I	106

C80808	31/08/2011		I	CI/1	3525.000	Te Puke Times - Job 69297 - Delivery 07 Sep 2011 - 114 grams.   	0.0856	0.0984	301.740	Te Puke Times	S	45.26	I	106
C80808	31/08/2011		I	CI/2	3525.000	Te Puke Times - Job 69298 - Delivery 14 Sep 2011 - 91 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80808	31/08/2011		I	CI/3	3525.000	Te Puke Times - Job 69561 - Delivery 21 Sep 2011 - 72 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106
C80808	31/08/2011		I	CI/4	3525.000	Te Puke Times - Job 69562 - Delivery 28 Sep 2011 - 91 grams.   	0.0749	0.0861	264.023	Te Puke Times	S	39.60	I	106

C80809	31/08/2011	Nth Canterbury	I	CI/1	2611.000	Farm Lacation Maps-North Canterbury - Job 69759 - Delivery IOA - 100 grams.   	0.0856	0.0984	223.502	Farm Lacation Maps-North Canterbury	S	33.53	I	107

C80810	31/08/2011	West Coast SI	I	CI/1	764.000	Farm Location Maps-West Coast - Job 69508 - Delivery IOA - 100 grams.   	0.1963	0.2257	149.973	Farm Location Maps-West Coast	S	22.50	I	107

C80811	31/08/2011	Pukekohe area	I	CI/1	4737.000	Reply Paid Cards - Job 69509 - Delivery IOA - 10 grams.   	0.0749	0.0861	354.801	Reply Paid Cards	S	53.22	I	107

C80812	31/08/2011	Manawatu/Horowhenua	I	CI/1	3355.000	Reply Paid Cards-Manawatu/Horowhenua - Job 69510 - Delivery IOA - 10 grams.   	0.0749	0.0861	251.290	Reply Paid Cards-Manawatu/Horowhenua	S	37.69	I	107

C80813	31/08/2011		I	CI/1	6490.000	Farmer Council Elections & Annual Meeting - Job 69681 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0883	0.1015	573.067	Farmer Council Elections & Annual Meeting	S	85.96	I	427

