Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83066	30/09/2012		I	CI/1	481.000	Allfarm Hawkes Bay - Job 72798 - Delivery 06 Sep 2012 - 5 grams.   Includes Linehaul.	0.0971	0.1117	46.71	53.72	Allfarm Hawkes Bay	S	7.01	I	Allfarm Inernational
C83066	30/09/2012		I	CI/2	481.000	Allfarm Hawkes Bay - Job 72799 - Delivery 20 Sep 2012 - 5 grams.   Includes Linehaul.	0.0971	0.1117	46.71	53.72	Allfarm Hawkes Bay	S	7.01	I	Allfarm Inernational

C83067	30/09/2012		I	CI/1	1040.000	Allfarm Tangimoana - Job 72795 - Delivery 13 Sep 2012 - 5 grams.   Includes Linehaul.	0.0971	0.1117	100.98	116.13	Allfarm Tangimoana	S	15.15	I	Allfarm Inernational

C83068	30/09/2012		I	CI/1	3028.000	Allfarm Waikato - Job 72796 - Delivery 06 Sep 2012 - 5 grams.   Includes Linehaul.	0.0971	0.1117	294.02	338.12	Allfarm Waikato	S	44.10	I	Allfarm Inernational
C83068	30/09/2012		I	CI/2	3028.000	Allfarm Waikato - Job 72797 - Delivery 20 Sep 2012 - 5 grams.   Includes Linehaul.	0.0971	0.1117	294.02	338.12	Allfarm Waikato	S	44.10	I	Allfarm Inernational

C83069	30/09/2012	1131	I	CI/1	6929.000	Almac Flyer - Job 72789 - Delivery IOA - 20 grams.   	0.0824	0.0948	570.95	656.59	Almac Flyer	S	85.64	I	Almac

C83070	30/09/2012		I	CI/1	2180.000	Cambridge Property Guide - Job 72455 - Delivery 05 Sep 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	APN Holdings NZ Ltd
C83070	30/09/2012		I	CI/2	2180.000	Cambridge Property Guide - Job 72456 - Delivery 12 Sep 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	APN Holdings NZ Ltd
C83070	30/09/2012		I	CI/3	2180.000	Cambridge Property Guide - Job 72878 - Delivery 19 Sep 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	APN Holdings NZ Ltd
C83070	30/09/2012		I	CI/4	2180.000	Cambridge Property Guide - Job 72879 - Delivery 26 Sep 2012 - 75 grams. Includes folding fee 0.0100 cents.  	0.0956	0.1099	208.41	239.67	Cambridge Property Guide	S	31.26	I	APN Holdings NZ Ltd

C83071	30/09/2012		I	CI/1	6125.000	Rural Advocate - Job 73105 - Delivery 20 Sep 2012 - 132 grams.   	0.0920	0.1058	563.50	648.03	Rural Advocate	S	84.53	I	APN Holdings NZ Ltd
C83071	30/09/2012		I	CI/2	1940.000	Rural Advocate - Job 73106 - Delivery 20 Sep 2012 - 132 grams.   	0.0920	0.1058	178.48	205.25	Rural Advocate	S	26.77	I	APN Holdings NZ Ltd

C83072	30/09/2012		I	CI/1	3270.000	Te Puke Times - Job 72461 - Delivery 06 Sep 2012 - 95 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	APN Holdings NZ Ltd
C83072	30/09/2012		I	CI/2	3270.000	Te Puke Times - Job 72462 - Delivery 13 Sep 2012 - 71 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	APN Holdings NZ Ltd
C83072	30/09/2012		I	CI/3	3270.000	Te Puke Times - Job 72882 - Delivery 20 Sep 2012 - 94 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	APN Holdings NZ Ltd
C83072	30/09/2012		I	CI/4	3270.000	Te Puke Times - Job 72883 - Delivery 27 Sep 2012 - 72 grams.   	0.0856	0.0984	279.91	321.90	Te Puke Times	S	41.99	I	APN Holdings NZ Ltd

C83073	30/09/2012	Hawkes Bay	I	CI/1	3181.000	Farm Location Maps - Job 72827 - Delivery IOA - 100 grams.   	0.0942	0.1083	299.65	344.60	Farm Location Maps	S	44.95	I	Arcadia Marketing

C83074	30/09/2012	South Waikato	I	CI/1	1336.000	Reply Paid Cards - Job 73023 - Delivery 12 Sep 2012 - 15 grams.   	0.1123	0.1291	150.03	172.53	Reply Paid Cards	S	22.50	I	Arcadia Marketing

C83075	30/09/2012	Rotorua/Taupo	I	CI/1	2586.000	Reply Paid Cards - Job 73024 - Delivery 12 Sep 2012 - 15 grams.   	0.0824	0.0948	213.09	245.05	Reply Paid Cards	S	31.96	I	Arcadia Marketing

C83076	30/09/2012	Ray Castle	I	CI/1	26229.000	Bayer Tylofen Mail Drop - Job 73152 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	2546.84	2928.87	Bayer Tylofen Mail Drop	S	382.03	I	Bayer NZ

C83077	30/09/2012	Turben/Judy Sparks	I	CI/1	675.000	Just Sold In Your Area - Job 72826 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1111	0.1278	74.99	86.24	Just Sold In Your Area	S	11.25	I	Whalan & Partners Li

C83078	30/09/2012		I	CI/1	2485.000	One Team One Choice - Job 73042 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0971	0.1117	241.29	277.48	One Team One Choice	S	36.19	I	Whalan & Partners Li

C83079	30/09/2012	513726CS	I	CI/1	452.000	Swannanoa Auction  - Job 73180 - Delivery IOA - 10 grams.   Includes Linehaul.	0.3319	0.3817	150.02	172.52	Swannanoa Auction 	S	22.50	I	Whalan & Partners Li

C83080	30/09/2012	Turben/Judy Sparks	I	CI/1	675.000	Wanted in Your Area - Job 73041 - Delivery IOA - 10 grams.   Includes Linehaul.	0.1111	0.1278	74.99	86.24	Wanted in Your Area	S	11.25	I	Whalan & Partners Li

C83081	30/09/2012		I	CI/1	12074.000	Bayleys Preview - Job 73044 - Delivery IOA - 270 grams.   Includes Linehaul.	0.3060	0.3519	3694.64	4248.84	Bayleys Preview	S	554.20	I	Bayleys Palmerston N
C83081	30/09/2012		I	CI/2	1539.000	Bayleys Preview - Job 73045 - Delivery IOA - 270 grams.   Includes Linehaul.	0.3060	0.3519	470.93	541.57	Bayleys Preview	S	70.64	I	Bayleys Palmerston N

