ContactName,InvoiceNo,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountType,TaxType,TrackingName,TrackingOption1
PMP Catalogues,C83271,2448050,2012-10-01,2012-10-09,Awareness Planners - Job 73304 - Delivery 09 Oct 2012 - 57 grams.    Includes Linehaul.,0.665,79,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83272,2447365,2012-09-21,2012-10-01,Barfoot West Auckland - Job 73173 - Delivery 01 Oct 2012 - 10 grams.    Includes Linehaul.,4.871,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83273,2448212,2012-10-04,2012-10-09,Big Save  - Job 73344 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,5.954,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83274,2447720,2012-09-27,2012-10-09,Big Save Hamilton - Job 73267 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,10.176,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83275,2447719,2012-09-27,2012-10-09,Big Save Whangarei - Job 73260 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,20.187,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83276,2447806,2012-09-27,2012-10-09,BOP Residents Guide - Job 73272 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,1.01,52,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83277,2447536,2012-09-25,2012-10-08,Bracken Hall - Job 73217 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,1.403,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83278,2447972,2012-09-26,2012-10-08,Briscoes - Job 73241 - Delivery 08 Oct 2012 - 25 grams.    Includes Linehaul.,36.501,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83279,2447595,2012-09-26,2012-10-08,Carpet One October - Job 73231 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,45.765,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83280,2448207,2012-10-02,2012-10-10,CDM City and Districts Mowing - Job 73321 - Delivery 10 Oct 2012 - 10 grams.    ,5.479,52,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83281,2448056,2012-10-02,2012-10-09,Comtool Hastings - Job 73322 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,4.072,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83282,2447820,2012-09-28,2012-10-09,Comtool Napier October - Job 73276 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,2.379,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83283,2448006,2012-10-01,2012-10-09,Comtool Tauranga - Job 73299 - Delivery 09 Oct 2012 - 25 grams.    Includes Linehaul.,5.479,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83284,2447681,2012-09-27,2012-10-09,Curtain Studio - Job 73256 - Delivery 09 Oct 2012 - 10 grams.    Includes Linehaul.,20.399,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83285,2007646,2012-09-27,2012-10-08,DTR Wanganui - Job 73271 - Delivery 08 Oct 2012 - 10 grams.    Includes Linehaul.,0.145,55.6,1,100,15% GST on income,Division,Circulars

PMP Catalogues,C83286,2447919,2012-10-01,2012-10-09,Electronics Plus Te Puke Jaycar - Job 73293 - Delivery 09 Oct 2012 - 16 grams.    Includes Linehaul.,2.64,55.6,1,100,15% GST on income,Division,Circulars

