ContactName,InvoiceNumber,Reference,InvoiceDate,DueDate,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TrackingName1,TrackingOption1
PMP Distribution Lim,C83380,2448961,2012-10-28,2012-11-20,Ashburton Guardian Mailer - Job 73636 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,6.432,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83381,2448747,2012-10-28,2012-11-20,Bedstop Northland  - Job 73531 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.05,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83382,2447507,2012-10-28,2012-11-20,Bond and Bond - Job 73199 - Delivery 23 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,5.67,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83383,2448390,2012-10-28,2012-11-20,Briscoes - Job 73413 - Delivery 22 Oct 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,36.501,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83384,2448461,2012-10-28,2012-11-20,Clendon/Southmall New World - Job 73407 - Delivery 27 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,0.371,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83385,2449020,2012-10-28,2012-11-20,Curtain Studio - Job 73557 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,11.731,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83386,2447709,2012-10-28,2012-11-20,EIT HB Newsletter - Job 73259 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,6.704,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83387,2447978,2012-10-28,2012-11-20,Four Square Northern - Job 73251 - Delivery 27 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,55.156,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83388,2448005,2012-10-28,2012-11-20,Four Square Southern - Job 73355 - Delivery 27 Oct 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,41.942,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83389,2448869,2012-10-28,2012-11-20,Insight Traders New Plymouth - Job 73629 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,3.944,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83390,2448738,2012-10-28,2012-11-20,Jetts Albany - Job 73520 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,1.7,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83391,2448296,2012-10-28,2012-11-20,Lifecare Waiheke Flyerr - Job 73393 - Delivery 23 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,0.267,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83392,2449045,2012-10-28,2012-11-20,Living and Shopping - Job 73555 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. ,3.284,52,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83393,2447592,2012-10-28,2012-11-20,New World Northern - Job 73222 - Delivery 27 Oct 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,81.309,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83394,,2012-10-28,2012-11-20,New World Southern - Job 73653 - Delivery 27 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,56.968,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83395,2448425,2012-10-28,2012-11-20,Noel Leeming - Job 73516 - Delivery 23 Oct 2012 - 40 grams.    Boxholder Type: Total. Includes Linehaul.,97.133,59.7,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83396,2448569,2012-10-28,2012-11-20,Noel Leeming Carnival of Savings - Job 73554 - Delivery 23 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,7.158,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83397,2448569,2012-10-28,2012-11-20,Noel Leeming NPL/WAG - Job 73518 - Delivery 23 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,7.158,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83398,2448941,2012-10-28,2012-11-20,People Potential - Job 73624 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. ,2.855,52,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83399,2447971,2012-10-28,2012-11-20,Rebel Sports - Job 73300 - Delivery 27 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,107.727,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83400,2448990,2012-10-28,2012-11-20,Repco October Catalogue - Job 73551 - Delivery 23 Oct 2012 - 25 grams.    Boxholder Type: Total. Includes Linehaul.,183.171,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83401,2448762,2012-10-28,2012-11-20,Smith City Appliances - Job 73544 - Delivery 23 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,88.507,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83402,2448358,2012-10-28,2012-11-20,Specsavers  - Job 73394 - Delivery 22 Oct 2012 - 20 grams.    Boxholder Type: Total. Includes Linehaul.,1.02,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83403,2448803,2012-10-28,2012-11-20,Taratahi Rural Leadership Course - Job 73432 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,5.76,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83404,2448672,2012-10-28,2012-11-20,Tyrepower - Job 73528 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,8.844,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83405,2447893,2012-10-28,2012-11-20,Uncle Bills Wholesale Club Masterton - Job 73275 - Delivery IOA - 20 grams.    Boxholder Type: Total. Includes Linehaul.,3.895,55.6,,100,15% GST on income,Division,Circulars
PMP Distribution Lim,C83406,2449075,2012-10-28,2012-11-20,Your Waikato - Job 73635 - Delivery 23 Oct 2012 - 10 grams.    Boxholder Type: Total. Includes Linehaul.,37.31,55.6,,100,15% GST on income,Division,Circulars

